wav_filename,wav_filesize,transcript,transcrip_size
/home/data/images/iam/lines/a06/a06-095/a06-095-07.png,99332,impetus and an economic growth,30
/home/data/images/iam/lines/a06/a06-114/a06-114-08.png,58340,the spending spree is at a new,30
/home/data/images/iam/lines/b06/b06-053/b06-053-06.png,62854,basic effort to improve living,30
/home/data/images/iam/lines/b06/b06-053/b06-053-10.png,60138,established during their years,30
/home/data/images/iam/lines/b06/b06-093/b06-093-01.png,33162,end the manufacture and use of,30
/home/data/images/iam/lines/c06/c06-043/c06-043-01.png,44643,seizure and was gravely ill in,30
/home/data/images/iam/lines/e02/e02-091/e02-091-06.png,66432,cabinet work the necessity for,30
/home/data/images/iam/lines/a01/a01-132/a01-132-01.png,27418,development being limited or an,31
/home/data/images/iam/lines/b06/b06-019/b06-019-08.png,79850,compared with four divisions of,31
/home/data/images/iam/lines/b06/b06-027/b06-027-09.png,140356,a great disturbance last autumn,31
/home/data/images/iam/lines/b06/b06-053/b06-053-01.png,52715,if we have then by our practice,31
/home/data/images/iam/lines/b06/b06-064/b06-064-08.png,49927,for a campaign against weak and,31
/home/data/images/iam/lines/b06/b06-100/b06-100-02.png,44796,will not keep us abreast of the,31
/home/data/images/iam/lines/c02/c02-030/c02-030-06.png,55123,succeeded in his second film in,31
/home/data/images/iam/lines/g06/g06-026b/g06-026b-07.png,23871,assumption of the government by,31
/home/data/images/iam/lines/g06/g06-037b/g06-037b-05.png,24701,a new chapter in the history of,31
/home/data/images/iam/lines/g06/g06-042b/g06-042b-06.png,59632,homoeopathy had been brought to,31
/home/data/images/iam/lines/g06/g06-042m/g06-042m-05.png,26062,method known as homoeopathy had,31
/home/data/images/iam/lines/r02/r02-006/r02-006-08.png,22133,to a depreciation tax allowance,31
/home/data/images/iam/lines/r06/r06-062/r06-062-05.png,62544,heat and cold like the hands of,31
/home/data/images/iam/lines/r06/r06-062/r06-062-08.png,56655,beech and the thin pine fingers,31
/home/data/images/iam/lines/r06/r06-115/r06-115-08.png,57018,frowning face as she turned the,31
/home/data/images/iam/lines/a01/a01-077/a01-077-04.png,45656,ference admitted he did not know,32
/home/data/images/iam/lines/a03/a03-054/a03-054-09.png,42445,assurance and is a match for the,32
/home/data/images/iam/lines/a05/a05-025/a05-025-02.png,37369,who have held high positions but,32
/home/data/images/iam/lines/a06/a06-114/a06-114-01.png,45698,food subsidies would probably be,32
/home/data/images/iam/lines/b02/b02-105/b02-105-03.png,49569,the campaign has dismayed a good,32
/home/data/images/iam/lines/b06/b06-056/b06-056-07.png,37868,a demand that the movement unite,32
/home/data/images/iam/lines/c06/c06-080/c06-080-01.png,56102,feathered friend is not the only,32
/home/data/images/iam/lines/c06/c06-103/c06-103-03.png,103372,certificate have to keep a sharp,32
/home/data/images/iam/lines/c06/c06-103/c06-103-09.png,125911,that of the entry of a gladiator,32
/home/data/images/iam/lines/g04/g04-092/g04-092-10.png,33708,are parents or even grandparents,32
/home/data/images/iam/lines/g06/g06-011b/g06-011b-02.png,21739,enjoyed it as much as his health,32
/home/data/images/iam/lines/g06/g06-045b/g06-045b-07.png,47804,doctor who had studied under its,32
/home/data/images/iam/lines/r02/r02-006/r02-006-06.png,22247,that the warm coats were heating,32
/home/data/images/iam/lines/r02/r02-060/r02-060-04.png,52818,bent wire loop into the lock and,32
/home/data/images/iam/lines/a01/a01-082u/a01-082u-01.png,38589,face from his warnings during the,33
/home/data/images/iam/lines/a01/a01-102/a01-102-06.png,39908,needs an imaginative architect to,33
/home/data/images/iam/lines/a04/a04-081/a04-081-05.png,25596,meet the growing concentration of,33
/home/data/images/iam/lines/a06/a06-095/a06-095-04.png,88077,tribute to the development of the,33
/home/data/images/iam/lines/c03/c03-087d/c03-087d-01.png,77547,most treatments of its subject by,33
/home/data/images/iam/lines/c06/c06-043/c06-043-04.png,62245,heralded by the announcement that,33
/home/data/images/iam/lines/c06/c06-103/c06-103-07.png,110196,verbal variety and not the visual,33
/home/data/images/iam/lines/e02/e02-091/e02-091-07.png,66252,certain special tools will become,33
/home/data/images/iam/lines/e04/e04-019/e04-019-06.png,58741,the frame together with the piece,33
/home/data/images/iam/lines/g04/g04-003/g04-003-03.png,54291,when we met at tea at the rectory,33
/home/data/images/iam/lines/g06/g06-031b/g06-031b-04.png,26680,but fear that the exasperation of,33
/home/data/images/iam/lines/r02/r02-013/r02-013-04.png,50232,lected the long correspondence he,33
/home/data/images/iam/lines/r06/r06-115/r06-115-07.png,55016,newspapers and watched her pretty,33
/home/data/images/iam/lines/a01/a01-102/a01-102-02.png,55839,opinion is that anybody supporting,34
/home/data/images/iam/lines/a03/a03-020/a03-020-02.png,48861,claims to be his representative in,34
/home/data/images/iam/lines/a03/a03-059/a03-059-07.png,59176,ranging from foreign investment in,34
/home/data/images/iam/lines/a04/a04-081/a04-081-07.png,23052,common industrial contribution was,34
/home/data/images/iam/lines/a04/a04-085/a04-085-06.png,22024,the views of a wide section of the,34
/home/data/images/iam/lines/a05/a05-080/a05-080-08.png,38456,that the situation was rather more,34
/home/data/images/iam/lines/b04/b04-004/b04-004-01.png,20251,has done more than most to stir up,34
/home/data/images/iam/lines/b05/b05-079/b05-079-02.png,28477,ordering that after the successful,34
/home/data/images/iam/lines/b05/b05-098/b05-098-08.png,50960,come through the sugary sentiments,34
/home/data/images/iam/lines/b06/b06-056/b06-056-10.png,36716,trick of moving a number of unions,34
/home/data/images/iam/lines/b06/b06-071/b06-071-09.png,84008,trade union movement following the,34
/home/data/images/iam/lines/c03/c03-021f/c03-021f-04.png,64267,the unborn child as much as to the,34
/home/data/images/iam/lines/c06/c06-043/c06-043-02.png,55726,hospital with a diabetic and heart,34
/home/data/images/iam/lines/c06/c06-116/c06-116-08.png,47133,is an earlier essay in atmospheric,34
/home/data/images/iam/lines/c06/c06-138/c06-138-04.png,103334,floundered on to the electrocution,34
/home/data/images/iam/lines/e02/e02-021/e02-021-01.png,93594,complete any mortising that may be,34
/home/data/images/iam/lines/e07/e07-012/e07-012-04.png,26939,may be consumed at one sitting and,34
/home/data/images/iam/lines/e07/e07-012/e07-012-06.png,23795,is able to keep a firm hold on one,34
/home/data/images/iam/lines/g04/g04-088/g04-088-10.png,37073,clamour for back stamps if a child,34
/home/data/images/iam/lines/g04/g04-092/g04-092-08.png,34757,it is a great joy to meet them now,34
/home/data/images/iam/lines/r06/r06-049/r06-049-05.png,52911,that the walls were porous and the,34
/home/data/images/iam/lines/r06/r06-115/r06-115-10.png,60562,to let nothing get between her and,34
/home/data/images/iam/lines/r06/r06-121/r06-121-04.png,52639,their bright friendly heads turned,34
/home/data/images/iam/lines/r06/r06-126/r06-126-01.png,36938,serious of the two films that were,34
/home/data/images/iam/lines/r06/r06-126/r06-126-06.png,46307,of them from being sent to the gas,34
/home/data/images/iam/lines/a01/a01-007u/a01-007u-07.png,57955,have agreed to get together to face,35
/home/data/images/iam/lines/a01/a01-068u/a01-068u-04.png,46681,good and is not paying for the past,35
/home/data/images/iam/lines/a01/a01-077/a01-077-07.png,42906,was waiting for his senior military,35
/home/data/images/iam/lines/a01/a01-077/a01-077-08.png,44709,aides to come up with the answer on,35
/home/data/images/iam/lines/a01/a01-082u/a01-082u-09.png,41887,in personality last night dominated,35
/home/data/images/iam/lines/a01/a01-091u/a01-091u-08.png,46991,many people far beyond the ranks of,35
/home/data/images/iam/lines/a01/a01-122u/a01-122u-09.png,47680,affluence it seemed it could not be,35
/home/data/images/iam/lines/a02/a02-067/a02-067-02.png,45641,the peace and for inciting a breach,35
/home/data/images/iam/lines/a04/a04-081/a04-081-03.png,24827,to the regrouping of unions and the,35
/home/data/images/iam/lines/a04/a04-081/a04-081-04.png,23516,modification of their structures to,35
/home/data/images/iam/lines/a04/a04-089/a04-089-03.png,25943,growing section which is opposed to,35
/home/data/images/iam/lines/a05/a05-013/a05-013-02.png,34054,vinced that the policy initiated in,35
/home/data/images/iam/lines/a05/a05-099/a05-099-08.png,37072,and control would be much easier to,35
/home/data/images/iam/lines/a05/a05-104/a05-104-08.png,40361,the temple of their religion is the,35
/home/data/images/iam/lines/a05/a05-125/a05-125-03.png,35946,night and formed a queue stretching,35
/home/data/images/iam/lines/a06/a06-114/a06-114-05.png,69659,spending more as the summer holiday,35
/home/data/images/iam/lines/b05/b05-079/b05-079-04.png,25113,male population between the ages of,35
/home/data/images/iam/lines/b06/b06-056/b06-056-09.png,35498,and no other seems to have done the,35
/home/data/images/iam/lines/b06/b06-071/b06-071-01.png,82488,rally to defend a policy founded on,35
/home/data/images/iam/lines/b06/b06-071/b06-071-05.png,81467,that enormous inroads could already,35
/home/data/images/iam/lines/c01/c01-066/c01-066-07.png,36553,making propensities of the leisured,35
/home/data/images/iam/lines/c02/c02-089/c02-089-05.png,41783,all rolling eyeballs like a villain,35
/home/data/images/iam/lines/c04/c04-056/c04-056-07.png,76928,scene where six of the cast changed,35
/home/data/images/iam/lines/c06/c06-005/c06-005-05.png,39287,with many an obliging guffaw to the,35
/home/data/images/iam/lines/c06/c06-043/c06-043-08.png,55671,three times up before the beaks for,35
/home/data/images/iam/lines/e01/e01-022/e01-022-02.png,88368,bridal veil handed down from mother,35
/home/data/images/iam/lines/e01/e01-107/e01-107-07.png,49617,you have become proficient in these,35
/home/data/images/iam/lines/e01/e01-113/e01-113-05.png,55144,of broad bar of hook as you would a,35
/home/data/images/iam/lines/e07/e07-090/e07-090-07.png,28050,decided advantage of being the only,35
/home/data/images/iam/lines/f01/f01-053/f01-053-07.png,31747,ask questions and uses the books to,35
/home/data/images/iam/lines/g04/g04-092/g04-092-09.png,42779,fifty years afterwards when so many,35
/home/data/images/iam/lines/g06/g06-026b/g06-026b-05.png,27741,this letter he heard of the fall of,35
/home/data/images/iam/lines/g06/g06-037b/g06-037b-09.png,31276,to which he had been subjected ever,35
/home/data/images/iam/lines/g06/g06-050j/g06-050j-08.png,34313,he appears to despair of ever being,35
/home/data/images/iam/lines/r06/r06-053/r06-053-07.png,60956,pellets were easily removed and the,35
/home/data/images/iam/lines/r06/r06-106/r06-106-07.png,45364,more than ever like a pink and gold,35
/home/data/images/iam/lines/a01/a01-000u/a01-000u-04.png,55699,put down a resolution on the subject,36
/home/data/images/iam/lines/a01/a01-014/a01-014-08.png,41193,his chief a report on his talks with,36
/home/data/images/iam/lines/a01/a01-091/a01-091-02.png,45090,in answer to their whips to defeat a,36
/home/data/images/iam/lines/a01/a01-091/a01-091-05.png,56052,placing heavy burdens on those least,36
/home/data/images/iam/lines/a01/a01-117u/a01-117u-07.png,48269,that instead of taking it out of the,36
/home/data/images/iam/lines/a02/a02-012/a02-012-03.png,82472,a skilful backstage negotiator since,36
/home/data/images/iam/lines/a03/a03-030/a03-030-05.png,26111,foundations on which to win the next,36
/home/data/images/iam/lines/a03/a03-073/a03-073-05.png,44065,for adaptation as the first stage in,36
/home/data/images/iam/lines/a04/a04-066/a04-066-05.png,27253,disarmament to shift the emphasis of,36
/home/data/images/iam/lines/a04/a04-072/a04-072-02.png,23298,an agreement on a zone of controlled,36
/home/data/images/iam/lines/a04/a04-089/a04-089-07.png,27926,already there have been protests but,36
/home/data/images/iam/lines/a05/a05-029/a05-029-04.png,37397,felt the change would be unwise at a,36
/home/data/images/iam/lines/a05/a05-053/a05-053-09.png,37108,be party to accepting as a matter of,36
/home/data/images/iam/lines/a06/a06-090/a06-090-06.png,55151,who created a scene on this point on,36
/home/data/images/iam/lines/b01/b01-094/b01-094-02.png,32226,would be agreement between its rival,36
/home/data/images/iam/lines/b01/b01-127/b01-127-08.png,41920,apartheid is being applied ever more,36
/home/data/images/iam/lines/b05/b05-050/b05-050-06.png,30054,these civil engineers creeping about,36
/home/data/images/iam/lines/b06/b06-027/b06-027-06.png,123139,have their eyes on is control of the,36
/home/data/images/iam/lines/b06/b06-093/b06-093-03.png,41630,could play a leading and independent,36
/home/data/images/iam/lines/c02/c02-000/c02-000-09.png,69149,can be counted on the fingers of one,36
/home/data/images/iam/lines/c02/c02-022/c02-022-03.png,45926,crowning indignity the night club is,36
/home/data/images/iam/lines/c03/c03-007/c03-007-04.png,62821,the public monuments and the rubbish,36
/home/data/images/iam/lines/c03/c03-087d/c03-087d-07.png,61818,of we had a little more faith in the,36
/home/data/images/iam/lines/c03/c03-094e/c03-094e-06.png,94032,they were not asked to modulate from,36
/home/data/images/iam/lines/c03/c03-094f/c03-094f-06.png,69975,they were not asked to modulate from,36
/home/data/images/iam/lines/c03/c03-096d/c03-096d-03.png,64935,action by the author in spite of the,36
/home/data/images/iam/lines/c03/c03-096f/c03-096f-03.png,70391,action by the author in spite of the,36
/home/data/images/iam/lines/c06/c06-027/c06-027-01.png,78113,the advantage that no one knows what,36
/home/data/images/iam/lines/c06/c06-116/c06-116-05.png,59619,captain of the junior hockey team at,36
/home/data/images/iam/lines/e01/e01-035/e01-035-01.png,29329,and worked lace as well as women and,36
/home/data/images/iam/lines/e02/e02-018/e02-018-01.png,68203,end reveals when the required amount,36
/home/data/images/iam/lines/e02/e02-021/e02-021-05.png,86650,the outer surfaces being vertical as,36
/home/data/images/iam/lines/e04/e04-019/e04-019-02.png,52553,and the width is best taken directly,36
/home/data/images/iam/lines/e07/e07-066/e07-066-03.png,20700,mantis as a pest control in the cold,36
/home/data/images/iam/lines/e07/e07-076/e07-076-07.png,24485,they are not quite so fragile as the,36
/home/data/images/iam/lines/f02/f02-017/f02-017-02.png,36509,to revise the course in the light of,36
/home/data/images/iam/lines/f02/f02-038/f02-038-08.png,34548,adequate provision of facilities for,36
/home/data/images/iam/lines/g06/g06-018b/g06-018b-05.png,26822,this place agree with me better than,36
/home/data/images/iam/lines/g06/g06-042h/g06-042h-05.png,22305,method known as homoeopathy had been,36
/home/data/images/iam/lines/g06/g06-042j/g06-042j-05.png,33563,method known as homoeopathy had been,36
/home/data/images/iam/lines/g06/g06-045b/g06-045b-06.png,51736,he himself was being treated under a,36
/home/data/images/iam/lines/g06/g06-045m/g06-045m-06.png,24999,being treated under a doctor who had,36
/home/data/images/iam/lines/g06/g06-047j/g06-047j-05.png,28512,unorthodox medical men in the cities,36
/home/data/images/iam/lines/g06/g06-047m/g06-047m-04.png,24882,increasing number of disciples among,36
/home/data/images/iam/lines/r02/r02-006/r02-006-07.png,27721,appliances and therefore susceptible,36
/home/data/images/iam/lines/r06/r06-044/r06-044-05.png,70071,group then sat down for a late lunch,36
/home/data/images/iam/lines/r06/r06-049/r06-049-10.png,68331,which again left his household goods,36
/home/data/images/iam/lines/r06/r06-111/r06-111-01.png,45869,overlooking the sweeping brown tides,36
/home/data/images/iam/lines/r06/r06-111/r06-111-03.png,41972,flat with a devotion which said that,36
/home/data/images/iam/lines/r06/r06-130/r06-130-01.png,42079,doorman was lying in wait for anyone,36
/home/data/images/iam/lines/a01/a01-020u/a01-020u-08.png,52084,to discuss the function of a proposed,37
/home/data/images/iam/lines/a01/a01-107u/a01-107u-02.png,34235,of need and with one standard for all,37
/home/data/images/iam/lines/a01/a01-132/a01-132-09.png,41612,foods would still be free in families,37
/home/data/images/iam/lines/a03/a03-066/a03-066-04.png,50871,any increase in budgetary commitments,37
/home/data/images/iam/lines/a05/a05-048/a05-048-01.png,32153,evident that voters were bored by the,37
/home/data/images/iam/lines/a05/a05-094/a05-094-03.png,37607,in which all the boys were welcome to,37
/home/data/images/iam/lines/a05/a05-104/a05-104-02.png,38472,rebuked the unaligned nations for not,37
/home/data/images/iam/lines/a06/a06-039/a06-039-07.png,59287,carrying atomic submarines now formed,37
/home/data/images/iam/lines/a06/a06-075/a06-075-02.png,55746,conclusion that it would be right for,37
/home/data/images/iam/lines/b03/b03-098/b03-098-07.png,32455,start if they had taken more pains to,37
/home/data/images/iam/lines/b03/b03-098/b03-098-08.png,30890,explain the advantages to the general,37
/home/data/images/iam/lines/b05/b05-045/b05-045-03.png,29308,for a completely new job in less time,37
/home/data/images/iam/lines/b06/b06-093/b06-093-10.png,47666,than a handful of new apprenticeships,37
/home/data/images/iam/lines/c02/c02-022/c02-022-04.png,72147,given a gala society reopening on the,37
/home/data/images/iam/lines/c02/c02-082/c02-082-06.png,55632,magnificent performances from him and,37
/home/data/images/iam/lines/c03/c03-021c/c03-021c-08.png,76784,to love you while you are looking for,37
/home/data/images/iam/lines/c03/c03-021e/c03-021e-09.png,98094,to love you while you are looking for,37
/home/data/images/iam/lines/c03/c03-087d/c03-087d-02.png,91238,attempting to generate a melodramatic,37
/home/data/images/iam/lines/c03/c03-087e/c03-087e-02.png,107703,generate a melodramatic inevitability,37
/home/data/images/iam/lines/c06/c06-058/c06-058-04.png,28638,is in a pub where the author throws a,37
/home/data/images/iam/lines/e01/e01-025/e01-025-02.png,85962,lamentably low standards in the fussy,37
/home/data/images/iam/lines/e01/e01-050/e01-050-01.png,32464,amount of crochet was produced in the,37
/home/data/images/iam/lines/e04/e04-011/e04-011-07.png,63099,the frame with panel pins to complete,37
/home/data/images/iam/lines/e04/e04-015/e04-015-01.png,42991,fits up against the front legs of the,37
/home/data/images/iam/lines/e04/e04-019/e04-019-05.png,62758,with glue and panel pins and then fit,37
/home/data/images/iam/lines/e04/e04-022/e04-022-06.png,62672,to the frame and its edges planed off,37
/home/data/images/iam/lines/e07/e07-066/e07-066-02.png,22548,cooperate with me in studying praying,37
/home/data/images/iam/lines/e07/e07-094/e07-094-07.png,19156,that it is used in a slightly moister,37
/home/data/images/iam/lines/g04/g04-088/g04-088-06.png,38062,picture given them and the lesson was,37
/home/data/images/iam/lines/g05/g05-094/g05-094-04.png,28753,the use of no weapon more lethal than,37
/home/data/images/iam/lines/g06/g06-037b/g06-037b-08.png,26137,of the numerous conventional remedies,37
/home/data/images/iam/lines/g06/g06-037m/g06-037m-04.png,49662,there had opened a new chapter in the,37
/home/data/images/iam/lines/r06/r06-057/r06-057-03.png,50640,valley with a sea of vines and olives,37
/home/data/images/iam/lines/r06/r06-070/r06-070-04.png,75785,they galloped to the walls and spumed,37
/home/data/images/iam/lines/r06/r06-070/r06-070-08.png,77253,eyes of the spectators were hard with,37
/home/data/images/iam/lines/r06/r06-090/r06-090-10.png,53009,mingled with the memory of sandwiches,37
/home/data/images/iam/lines/a01/a01-020/a01-020-07.png,28847,will meet to discuss the function of a,38
/home/data/images/iam/lines/a01/a01-026u/a01-026u-02.png,45793,there have been secret negotiations on,38
/home/data/images/iam/lines/a01/a01-091/a01-091-07.png,57032,declared that the policy under censure,38
/home/data/images/iam/lines/a01/a01-091u/a01-091u-02.png,42632,their whips to defeat a censure motion,38
/home/data/images/iam/lines/a01/a01-102/a01-102-05.png,54422,are dealing with a noble edifice which,38
/home/data/images/iam/lines/a01/a01-102u/a01-102u-04.png,46016,are dealing with a noble edifice which,38
/home/data/images/iam/lines/a02/a02-124/a02-124-03.png,46210,from outlying districts to stations in,38
/home/data/images/iam/lines/a03/a03-030/a03-030-04.png,28891,ference will concentrate on laying the,38
/home/data/images/iam/lines/a03/a03-047/a03-047-01.png,45188,in the role of a popular orator at the,38
/home/data/images/iam/lines/a03/a03-080/a03-080-03.png,38238,various rocket stages had already been,38
/home/data/images/iam/lines/a04/a04-010/a04-010-07.png,28520,broadcast and television report on his,38
/home/data/images/iam/lines/a04/a04-072/a04-072-05.png,23507,was the beginning of a great period of,38
/home/data/images/iam/lines/a05/a05-022/a05-022-02.png,30686,arms require and to enable each man to,38
/home/data/images/iam/lines/a05/a05-053/a05-053-07.png,38176,who was winding up the foreign affairs,38
/home/data/images/iam/lines/a05/a05-080/a05-080-01.png,38824,ately refrained during the summer from,38
/home/data/images/iam/lines/a06/a06-051/a06-051-05.png,87933,minutes later to stand just inside the,38
/home/data/images/iam/lines/b01/b01-127/b01-127-06.png,38910,policy of appeasement has modified the,38
/home/data/images/iam/lines/b05/b05-045/b05-045-01.png,29912,factory to becoming a paint sprayer in,38
/home/data/images/iam/lines/b06/b06-023/b06-023-03.png,22025,which could launch an atomic attack on,38
/home/data/images/iam/lines/b06/b06-056/b06-056-05.png,42935,the introduction of a pseudo third way,38
/home/data/images/iam/lines/c01/c01-014/c01-014-01.png,42434,is largely a satire on the petty court,38
/home/data/images/iam/lines/c01/c01-066/c01-066-05.png,42907,to light a great deal of discreditable,38
/home/data/images/iam/lines/c02/c02-022/c02-022-07.png,48952,night club is replaced in its original,38
/home/data/images/iam/lines/c03/c03-003f/c03-003f-08.png,87714,but failed to create the atmosphere of,38
/home/data/images/iam/lines/c03/c03-016a/c03-016a-02.png,55674,girl lives in a single dingy room with,38
/home/data/images/iam/lines/c03/c03-016d/c03-016d-02.png,73822,girl lives in a single dingy room with,38
/home/data/images/iam/lines/c03/c03-021f/c03-021f-03.png,86067,moved by a strong maternal instinct to,38
/home/data/images/iam/lines/c03/c03-081a/c03-081a-03.png,54410,in our minds about her if she remained,38
/home/data/images/iam/lines/c03/c03-081d/c03-081d-03.png,71561,in our minds about her if she remained,38
/home/data/images/iam/lines/c03/c03-081d/c03-081d-09.png,91450,a performance of rare intelligence and,38
/home/data/images/iam/lines/c03/c03-081e/c03-081e-03.png,88150,in our minds about her if she remained,38
/home/data/images/iam/lines/c03/c03-094d/c03-094d-07.png,77959,asked to modulate from their set moods,38
/home/data/images/iam/lines/c03/c03-094e/c03-094e-07.png,98125,their set moods but played with proper,38
/home/data/images/iam/lines/c03/c03-094f/c03-094f-07.png,82144,their set moods but played with proper,38
/home/data/images/iam/lines/c03/c03-096a/c03-096a-07.png,65151,act oddly like the queer foreigners of,38
/home/data/images/iam/lines/e02/e02-018/e02-018-03.png,79232,to stop the plane short of the squared,38
/home/data/images/iam/lines/e02/e02-094/e02-094-02.png,56158,depend partly upon the space available,38
/home/data/images/iam/lines/e04/e04-011/e04-011-03.png,50418,the end of the feeding tray as seen in,38
/home/data/images/iam/lines/e04/e04-015/e04-015-06.png,58699,shows the framework for the back which,38
/home/data/images/iam/lines/e07/e07-072/e07-072-05.png,27885,numerous small clay pots are used each,38
/home/data/images/iam/lines/e07/e07-079/e07-079-06.png,24523,broken pots have on occasions provided,38
/home/data/images/iam/lines/e07/e07-083/e07-083-01.png,22660,wash clay pots is a definite factor in,38
/home/data/images/iam/lines/e07/e07-105/e07-105-02.png,18076,block maker and use the money saved on,38
/home/data/images/iam/lines/e07/e07-112/e07-112-04.png,35753,but they are almost indestructible and,38
/home/data/images/iam/lines/f02/f02-038/f02-038-06.png,37892,concerted action towards preparing men,38
/home/data/images/iam/lines/f04/f04-016/f04-016-06.png,85033,that she had carried a green purse and,38
/home/data/images/iam/lines/g05/g05-094/g05-094-06.png,26085,of the first ten years of the promised,38
/home/data/images/iam/lines/g06/g06-037j/g06-037j-09.png,36947,been subjected ever since the symptoms,38
/home/data/images/iam/lines/g06/g06-045j/g06-045j-06.png,31515,treated under a doctor who had studied,38
/home/data/images/iam/lines/h04/h04-000/h04-000-03.png,68288,many of which were incomplete families,38
/home/data/images/iam/lines/k04/k04-017/k04-017-06.png,74807,could not have overheard anything they,38
/home/data/images/iam/lines/r06/r06-041/r06-041-06.png,65813,and had the air of being written by an,38
/home/data/images/iam/lines/r06/r06-053/r06-053-02.png,56381,who hid himself in a bush and imitated,38
/home/data/images/iam/lines/a01/a01-030u/a01-030u-09.png,51137,delay progress in the talks by refusing,39
/home/data/images/iam/lines/a01/a01-038/a01-038-01.png,50332,parties had refused to attend the talks,39
/home/data/images/iam/lines/a01/a01-043/a01-043-07.png,45201,of his tasks will be to see there is no,39
/home/data/images/iam/lines/a01/a01-049u/a01-049u-01.png,52381,sparked off the opposition by telling a,39
/home/data/images/iam/lines/a01/a01-049x/a01-049x-01.png,56304,sparked off the opposition by telling a,39
/home/data/images/iam/lines/a01/a01-122u/a01-122u-04.png,45609,full inquiry into the cost of drugs and,39
/home/data/images/iam/lines/a02/a02-067/a02-067-01.png,57945,should not be bound over for disturbing,39
/home/data/images/iam/lines/a03/a03-034/a03-034-06.png,36840,stock at home has fallen in the face of,39
/home/data/images/iam/lines/a03/a03-043/a03-043-07.png,45356,observers at the national rally will be,39
/home/data/images/iam/lines/a04/a04-000/a04-000-05.png,32254,to have been devoted to this main point,39
/home/data/images/iam/lines/a04/a04-072/a04-072-09.png,35511,fulfilment of a common policy for wages,39
/home/data/images/iam/lines/a04/a04-103/a04-103-04.png,29441,growing body of opinion in this country,39
/home/data/images/iam/lines/a05/a05-048/a05-048-07.png,37883,last night that he had considered early,39
/home/data/images/iam/lines/a05/a05-073/a05-073-05.png,44501,certain that they wanted to establish a,39
/home/data/images/iam/lines/a05/a05-094/a05-094-06.png,43987,metaphorical braces were visible in the,39
/home/data/images/iam/lines/a05/a05-099/a05-099-06.png,39129,prohibition of the production of atomic,39
/home/data/images/iam/lines/a05/a05-104/a05-104-04.png,43661,they themselves had no condemnation for,39
/home/data/images/iam/lines/a06/a06-036/a06-036-02.png,67035,to the preparations for launching their,39
/home/data/images/iam/lines/a06/a06-075/a06-075-04.png,71914,for negotiations with a view to joining,39
