wav_filename,wav_filesize,transcript,transcrip_size
/home/data/images/iam/lines/m04/m04-012/m04-012-08.png,45135,returning to her home town as a,31
/home/data/images/iam/lines/m04/m04-107/m04-107-06.png,100850,though half an hour ago she had,31
/home/data/images/iam/lines/n03/n03-103/n03-103-04.png,88173,the tiller hard over and at the,31
/home/data/images/iam/lines/p02/p02-090/p02-090-06.png,51802,view and remembering the advice,31
/home/data/images/iam/lines/p03/p03-112/p03-112-08.png,24458,leave in the autumn without you,31
/home/data/images/iam/lines/p06/p06-088/p06-088-05.png,70399,no matter how one might want to,31
/home/data/images/iam/lines/p06/p06-088/p06-088-07.png,80368,touched him after the cold wind,31
/home/data/images/iam/lines/a01/a01-077/a01-077-04.png,45656,ference admitted he did not know,32
/home/data/images/iam/lines/a03/a03-054/a03-054-09.png,42445,assurance and is a match for the,32
/home/data/images/iam/lines/a05/a05-025/a05-025-02.png,37369,who have held high positions but,32
/home/data/images/iam/lines/a06/a06-114/a06-114-01.png,45698,food subsidies would probably be,32
/home/data/images/iam/lines/b02/b02-105/b02-105-03.png,49569,the campaign has dismayed a good,32
/home/data/images/iam/lines/b06/b06-056/b06-056-07.png,37868,a demand that the movement unite,32
/home/data/images/iam/lines/c06/c06-080/c06-080-01.png,56102,feathered friend is not the only,32
/home/data/images/iam/lines/c06/c06-103/c06-103-03.png,103372,certificate have to keep a sharp,32
/home/data/images/iam/lines/c06/c06-103/c06-103-09.png,125911,that of the entry of a gladiator,32
/home/data/images/iam/lines/g04/g04-092/g04-092-10.png,33708,are parents or even grandparents,32
/home/data/images/iam/lines/g06/g06-011b/g06-011b-02.png,21739,enjoyed it as much as his health,32
/home/data/images/iam/lines/g06/g06-045b/g06-045b-07.png,47804,doctor who had studied under its,32
/home/data/images/iam/lines/r02/r02-006/r02-006-06.png,22247,that the warm coats were heating,32
/home/data/images/iam/lines/r02/r02-060/r02-060-04.png,52818,bent wire loop into the lock and,32
/home/data/images/iam/lines/g06/g06-050n/g06-050n-10.png,35395,appears to despair of ever being,32
/home/data/images/iam/lines/h06/h06-079/h06-079-05.png,70013,jib and with electronic assembly,32
/home/data/images/iam/lines/h06/h06-096/h06-096-01.png,54557,enable the sand to be applied to,32
/home/data/images/iam/lines/h07/h07-025/h07-025-09.png,78136,this being considered sufficient,32
/home/data/images/iam/lines/h07/h07-030/h07-030-02.png,61278,investors by leasing part of the,32
/home/data/images/iam/lines/h07/h07-033/h07-033-09.png,66245,provide a living for the traders,32
/home/data/images/iam/lines/j01/j01-049/j01-049-04.png,43576,corroded by sodium nor by sodium,32
/home/data/images/iam/lines/j06/j06-026/j06-026-09.png,61059,into small circular ripples like,32
/home/data/images/iam/lines/j06/j06-034/j06-034-09.png,60320,erences in water viscosity after,32
/home/data/images/iam/lines/j06/j06-056/j06-056-01.png,82273,of light as the governing factor,32
/home/data/images/iam/lines/k07/k07-176/k07-176-09.png,62493,ago and he now shuddered when he,32
/home/data/images/iam/lines/k07/k07-176/k07-176-10.png,55993,remembered the clinical weekends,32
/home/data/images/iam/lines/k07/k07-185/k07-185-08.png,50815,at home at all sorts of artistic,32
/home/data/images/iam/lines/l01/l01-065/l01-065-02.png,89054,began by agreeing that she could,32
/home/data/images/iam/lines/l01/l01-065/l01-065-06.png,89453,by admitting that he was in fact,32
/home/data/images/iam/lines/m01/m01-110/m01-110-05.png,56808,move about pretty freely without,32
/home/data/images/iam/lines/m01/m01-125/m01-125-09.png,51024,ringing of a doorbell was to him,32
/home/data/images/iam/lines/n03/n03-103/n03-103-01.png,78560,as though his son would actually,32
/home/data/images/iam/lines/p03/p03-004/p03-004-04.png,48758,watched the workmen constructing,32
/home/data/images/iam/lines/p03/p03-096/p03-096-05.png,26745,exactly what you were doing that,32
/home/data/images/iam/lines/a01/a01-082u/a01-082u-01.png,38589,face from his warnings during the,33
/home/data/images/iam/lines/a01/a01-102/a01-102-06.png,39908,needs an imaginative architect to,33
/home/data/images/iam/lines/a04/a04-081/a04-081-05.png,25596,meet the growing concentration of,33
/home/data/images/iam/lines/a06/a06-095/a06-095-04.png,88077,tribute to the development of the,33
/home/data/images/iam/lines/c03/c03-087d/c03-087d-01.png,77547,most treatments of its subject by,33
/home/data/images/iam/lines/c06/c06-043/c06-043-04.png,62245,heralded by the announcement that,33
/home/data/images/iam/lines/c06/c06-103/c06-103-07.png,110196,verbal variety and not the visual,33
/home/data/images/iam/lines/e02/e02-091/e02-091-07.png,66252,certain special tools will become,33
/home/data/images/iam/lines/e04/e04-019/e04-019-06.png,58741,the frame together with the piece,33
/home/data/images/iam/lines/g04/g04-003/g04-003-03.png,54291,when we met at tea at the rectory,33
/home/data/images/iam/lines/g06/g06-031b/g06-031b-04.png,26680,but fear that the exasperation of,33
/home/data/images/iam/lines/r02/r02-013/r02-013-04.png,50232,lected the long correspondence he,33
/home/data/images/iam/lines/r06/r06-115/r06-115-07.png,55016,newspapers and watched her pretty,33
/home/data/images/iam/lines/g06/g06-011n/g06-011n-02.png,31664,that he enjoyed it as much as his,33
/home/data/images/iam/lines/g06/g06-037o/g06-037o-10.png,57198,ever since the symptoms had first,33
/home/data/images/iam/lines/g06/g06-045n/g06-045n-04.png,36666,that it was being cultivated with,33
/home/data/images/iam/lines/g06/g06-050n/g06-050n-03.png,37463,so he described his distinguished,33
/home/data/images/iam/lines/g07/g07-069a/g07-069a-07.png,56865,book and was content for it to be,33
/home/data/images/iam/lines/g07/g07-077a/g07-077a-06.png,54856,had been deemed necessary all the,33
/home/data/images/iam/lines/h06/h06-092/h06-092-04.png,60551,carried by a short length of belt,33
/home/data/images/iam/lines/h07/h07-037/h07-037-01.png,68395,in the town centres has helped to,33
/home/data/images/iam/lines/h07/h07-037/h07-037-02.png,62432,bring custom to the shops and the,33
/home/data/images/iam/lines/j06/j06-018/j06-018-03.png,55274,and for other species in the same,33
/home/data/images/iam/lines/j06/j06-030/j06-030-02.png,62736,the population at the surface and,33
/home/data/images/iam/lines/j06/j06-034/j06-034-03.png,72521,although passive movement through,33
/home/data/images/iam/lines/j06/j06-051/j06-051-03.png,66091,must almost certainly be replaced,33
/home/data/images/iam/lines/k04/k04-079/k04-079-04.png,76538,she allowed herself the luxury of,33
/home/data/images/iam/lines/k07/k07-152/k07-152-04.png,56323,of her marriage and asked her why,33
/home/data/images/iam/lines/k07/k07-176/k07-176-08.png,57870,married her bill broker some time,33
/home/data/images/iam/lines/l03/l03-008/l03-008-08.png,63286,he threw himself across the floor,33
/home/data/images/iam/lines/l04/l04-062/l04-062-03.png,52470,he concentrated on the problem of,33
/home/data/images/iam/lines/l04/l04-062/l04-062-05.png,57144,manner in which he had dispatched,33
/home/data/images/iam/lines/l07/l07-111/l07-111-06.png,65607,shorts he looked hardly more than,33
/home/data/images/iam/lines/l07/l07-131/l07-131-05.png,84538,man whose family had tired of the,33
/home/data/images/iam/lines/l07/l07-172/l07-172-09.png,58706,seemed to know exactly what to do,33
/home/data/images/iam/lines/m02/m02-102/m02-102-09.png,29800,would be initialled at the end of,33
/home/data/images/iam/lines/m03/m03-095/m03-095-01.png,64164,hut had recently been cleaned and,33
/home/data/images/iam/lines/m04/m04-019/m04-019-06.png,40821,hand when you are lording it over,33
/home/data/images/iam/lines/n02/n02-033/n02-033-05.png,27675,learn that he could not treat her,33
/home/data/images/iam/lines/n02/n02-037/n02-037-07.png,32489,her great disappointment at being,33
/home/data/images/iam/lines/n02/n02-151/n02-151-05.png,83665,made her send a complacent glance,33
/home/data/images/iam/lines/n03/n03-079/n03-079-05.png,40690,out and sucked in his baggy black,33
/home/data/images/iam/lines/p03/p03-004/p03-004-09.png,43119,self as a stranger in these parts,33
/home/data/images/iam/lines/p06/p06-052/p06-052-03.png,80871,felt that part of her was leaving,33
/home/data/images/iam/lines/a01/a01-102/a01-102-02.png,55839,opinion is that anybody supporting,34
/home/data/images/iam/lines/a03/a03-020/a03-020-02.png,48861,claims to be his representative in,34
/home/data/images/iam/lines/a03/a03-059/a03-059-07.png,59176,ranging from foreign investment in,34
/home/data/images/iam/lines/a04/a04-081/a04-081-07.png,23052,common industrial contribution was,34
/home/data/images/iam/lines/a04/a04-085/a04-085-06.png,22024,the views of a wide section of the,34
/home/data/images/iam/lines/a05/a05-080/a05-080-08.png,38456,that the situation was rather more,34
/home/data/images/iam/lines/b04/b04-004/b04-004-01.png,20251,has done more than most to stir up,34
/home/data/images/iam/lines/b05/b05-079/b05-079-02.png,28477,ordering that after the successful,34
/home/data/images/iam/lines/b05/b05-098/b05-098-08.png,50960,come through the sugary sentiments,34
/home/data/images/iam/lines/b06/b06-056/b06-056-10.png,36716,trick of moving a number of unions,34
/home/data/images/iam/lines/b06/b06-071/b06-071-09.png,84008,trade union movement following the,34
/home/data/images/iam/lines/c03/c03-021f/c03-021f-04.png,64267,the unborn child as much as to the,34
/home/data/images/iam/lines/c06/c06-043/c06-043-02.png,55726,hospital with a diabetic and heart,34
/home/data/images/iam/lines/c06/c06-116/c06-116-08.png,47133,is an earlier essay in atmospheric,34
/home/data/images/iam/lines/c06/c06-138/c06-138-04.png,103334,floundered on to the electrocution,34
/home/data/images/iam/lines/e02/e02-021/e02-021-01.png,93594,complete any mortising that may be,34
/home/data/images/iam/lines/e07/e07-012/e07-012-04.png,26939,may be consumed at one sitting and,34
/home/data/images/iam/lines/e07/e07-012/e07-012-06.png,23795,is able to keep a firm hold on one,34
/home/data/images/iam/lines/g04/g04-088/g04-088-10.png,37073,clamour for back stamps if a child,34
/home/data/images/iam/lines/g04/g04-092/g04-092-08.png,34757,it is a great joy to meet them now,34
/home/data/images/iam/lines/r06/r06-049/r06-049-05.png,52911,that the walls were porous and the,34
/home/data/images/iam/lines/r06/r06-115/r06-115-10.png,60562,to let nothing get between her and,34
/home/data/images/iam/lines/r06/r06-121/r06-121-04.png,52639,their bright friendly heads turned,34
/home/data/images/iam/lines/r06/r06-126/r06-126-01.png,36938,serious of the two films that were,34
/home/data/images/iam/lines/r06/r06-126/r06-126-06.png,46307,of them from being sent to the gas,34
/home/data/images/iam/lines/g06/g06-037n/g06-037n-09.png,33651,ventional remedies to which he had,34
/home/data/images/iam/lines/g06/g06-045o/g06-045o-06.png,58169,he himself was being treated under,34
/home/data/images/iam/lines/g07/g07-071a/g07-071a-06.png,57859,was without the right to make such,34
/home/data/images/iam/lines/h01/h01-030/h01-030-08.png,85522,given to possibilities of reducing,34
/home/data/images/iam/lines/h02/h02-043/h02-043-08.png,35578,for the information of doctors and,34
/home/data/images/iam/lines/h06/h06-085/h06-085-07.png,65889,on a sliding feed tray outside the,34
/home/data/images/iam/lines/h06/h06-092/h06-092-08.png,81034,distributed to all four faces by a,34
/home/data/images/iam/lines/h07/h07-051b/h07-051b-09.png,57384,of the town from the outset as one,34
/home/data/images/iam/lines/j01/j01-049/j01-049-03.png,50550,liquid sodium and which is neither,34
/home/data/images/iam/lines/j06/j06-018/j06-018-02.png,57067,the case of five of these examples,34
/home/data/images/iam/lines/j06/j06-034/j06-034-10.png,89142,temperature changes have also been,34
/home/data/images/iam/lines/j06/j06-051/j06-051-04.png,96812,by the headfirst downward swimming,34
/home/data/images/iam/lines/k07/k07-185/k07-185-05.png,67969,called it a shocking waste of time,34
/home/data/images/iam/lines/l01/l01-129/l01-129-05.png,36632,brought home a woman in her middle,34
/home/data/images/iam/lines/l01/l01-199/l01-199-09.png,85388,and it would not be of much use if,34
/home/data/images/iam/lines/l07/l07-135/l07-135-04.png,82632,had been settled and the owner had,34
/home/data/images/iam/lines/l07/l07-172/l07-172-06.png,57018,with flocks of sailing boats which,34
/home/data/images/iam/lines/m02/m02-102/m02-102-07.png,35256,businesses would pick on young men,34
/home/data/images/iam/lines/m03/m03-062/m03-062-07.png,25060,necessity of rounding my narrative,34
/home/data/images/iam/lines/n02/n02-033/n02-033-07.png,29507,her explanations as though he were,34
/home/data/images/iam/lines/n03/n03-103/n03-103-02.png,67352,shoot the craft in under the outer,34
/home/data/images/iam/lines/n03/n03-103/n03-103-05.png,86876,same time dropping the small sheet,34
/home/data/images/iam/lines/n04/n04-163/n04-163-03.png,65449,take you round the pubs where most,34
/home/data/images/iam/lines/p02/p02-069/p02-069-08.png,64986,tonight so come and join us if you,34
/home/data/images/iam/lines/p03/p03-087/p03-087-01.png,23625,broken down outside and he noticed,34
/home/data/images/iam/lines/p03/p03-087/p03-087-02.png,26444,your car and then you dancing with,34
/home/data/images/iam/lines/a01/a01-007u/a01-007u-07.png,57955,have agreed to get together to face,35
/home/data/images/iam/lines/a01/a01-068u/a01-068u-04.png,46681,good and is not paying for the past,35
/home/data/images/iam/lines/a01/a01-077/a01-077-07.png,42906,was waiting for his senior military,35
/home/data/images/iam/lines/a01/a01-077/a01-077-08.png,44709,aides to come up with the answer on,35
/home/data/images/iam/lines/a01/a01-082u/a01-082u-09.png,41887,in personality last night dominated,35
/home/data/images/iam/lines/a01/a01-091u/a01-091u-08.png,46991,many people far beyond the ranks of,35
/home/data/images/iam/lines/a01/a01-122u/a01-122u-09.png,47680,affluence it seemed it could not be,35
/home/data/images/iam/lines/a02/a02-067/a02-067-02.png,45641,the peace and for inciting a breach,35
/home/data/images/iam/lines/a04/a04-081/a04-081-03.png,24827,to the regrouping of unions and the,35
/home/data/images/iam/lines/a04/a04-081/a04-081-04.png,23516,modification of their structures to,35
/home/data/images/iam/lines/a04/a04-089/a04-089-03.png,25943,growing section which is opposed to,35
/home/data/images/iam/lines/a05/a05-013/a05-013-02.png,34054,vinced that the policy initiated in,35
/home/data/images/iam/lines/a05/a05-099/a05-099-08.png,37072,and control would be much easier to,35
/home/data/images/iam/lines/a05/a05-104/a05-104-08.png,40361,the temple of their religion is the,35
/home/data/images/iam/lines/a05/a05-125/a05-125-03.png,35946,night and formed a queue stretching,35
/home/data/images/iam/lines/a06/a06-114/a06-114-05.png,69659,spending more as the summer holiday,35
/home/data/images/iam/lines/b05/b05-079/b05-079-04.png,25113,male population between the ages of,35
/home/data/images/iam/lines/b06/b06-056/b06-056-09.png,35498,and no other seems to have done the,35
/home/data/images/iam/lines/b06/b06-071/b06-071-01.png,82488,rally to defend a policy founded on,35
/home/data/images/iam/lines/b06/b06-071/b06-071-05.png,81467,that enormous inroads could already,35
/home/data/images/iam/lines/c01/c01-066/c01-066-07.png,36553,making propensities of the leisured,35
